fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 145609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.170992656028067	0.999820654597201	6088	18	0.0214446228201697	12735000	38
20220525 145733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	560	TRUE	0.0161730226421501	0.26628279552645	2885	18	0.0207638584472452	13285000	39
20220525 145755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0861224516933025	0.200458564896338	2343	20	0.0172309677367068	12963000	40
20220525 150052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1552	TRUE	0.0100153984998523	0.200925917472804	6055	922	0.0159216202887748	13417000	41
20220525 150209	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	514	TRUE	0.010006425293148	0.987395995892036	7343	984	0.0144475376520798	12863000	42
20220525 150401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	823	TRUE	0.0101443831889412	0.201454905307624	7988	803	0.0164289320262767	13305000	43
20220525 150600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	813	TRUE	0.0100856963190982	0.239190831462683	6602	669	0.015702566725857	13299000	44
20220525 150801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	582	TRUE	0.0103597343505706	0.513575023614889	7989	17	0.0166645395262438	13348000	45
20220525 151032	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1216	TRUE	0.0100877502345829	0.207776099876273	7469	79	0.0135205678256907	12924000	46
20220525 151146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	490	TRUE	0.0100714347594641	0.995521552211153	7589	16	0.0184244472151711	13082000	47
20220525 151356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	662	TRUE	0.0100264565247409	0.28869425213496	2407	84	0.0167885529702777	13450000	48
20220525 151513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	480	TRUE	0.0132899297684742	0.201635520155386	6843	1017	0.0189644836216782	13197000	49
20220525 151731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	842	TRUE	0.010005733667081	0.342254360089714	5732	803	0.0182701143720418	13452000	50
