fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 014038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	747	TRUE	999983	0.0100378290235828	0.673446294385659	2740	561	0.0170742667217107	13752000	70
20220529 014142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	593	TRUE	999983	0.0124776250058037	0.974134944039202	3777	20	0.020700441614367	12672000	71
20220529 014252	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	748	TRUE	999983	0.0112565004747666	0.873109361601116	7999	1011	0.00834099796552728	11103000	72
20220529 014301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	999983	0.18690958682269	0.933384315798748	7966	439	0.0245059603039481	11815000	73
20220529 014312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	999983	0.23387022247469	0.200898105746711	5691	17	0.0305369845968835	11371000	74
20220529 014526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1032	TRUE	999983	0.0101533534491676	0.203701404541841	1650	680	0.0118544718368245	13144000	75
20220529 014602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	999983	0.105162561010117	0.254694857928829	24	974	0.00838110288574012	5779000	76
20220529 014711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	673	TRUE	999983	0.0110088383575501	0.744831335353113	7052	476	0.0107849805225545	12452000	77
20220529 014854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	456	TRUE	999983	0.0101784829667756	0.545413755263959	2632	664	0.012880900209218	13617000	78
20220529 015100	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	646	TRUE	999983	0.0102866671413062	0.474346439364995	1965	683	0.0143227887162499	13524000	79
20220529 015255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	687	TRUE	999983	0.0100203065725327	0.461743618052254	4186	968	0.0197137423156764	13365000	80
20220529 015303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	999983	0.256703155001499	0.203778607135598	7996	743	0.0232103859329703	12423000	81
20220529 015442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	505	TRUE	999983	0.0100256889197408	0.430410652010995	3000	121	0.0159251370019805	13720000	82
20220529 015726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	999983	0.0114474753174479	0.82911153860496	12	984	0.0172896872093085	2610000	83
20220529 015828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.0110517817097633	0.999765006018554	1104	594	0.00839112805486744	11631000	84
20220529 020001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	487	TRUE	999983	0.0113395663554433	0.964647184005869	1467	607	0.0127633445864751	13213000	85
20220529 020127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	457	TRUE	999983	0.0108230393152095	0.200213771279043	866	80	0.0134634406341443	13001000	86
20220529 020255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	465	TRUE	999983	0.014861726950969	0.474820294042221	2290	373	0.0163317186189962	13359000	87
20220529 020406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	999983	0.0102474329631013	0.635684860733634	941	606	0.012990025684728	13312000	88
20220529 020609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	654	TRUE	999983	0.0105594458477993	0.550265950477282	3243	130	0.0184880850804038	13539000	89
20220529 020618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	999983	0.295207081243278	0.200062092406128	2968	920	0.013076636145764	12331000	90
20220529 020631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	999983	0.0809460948876495	0.999976517967952	7981	631	0.013776787555369	12992000	91
20220529 020741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	618	TRUE	999983	0.0104971017130179	0.722789675159416	5371	341	0.0228416907487457	12621000	92
